Symbol,Kmeans
Tsp42Ed,Cluster 1
ItgaPS4,Cluster 1
CG17264,Cluster 1
CG4269,Cluster 1
upd3,Cluster 1
CG4393,Cluster 1
vir-1,Cluster 1
CG33468,Cluster 1
PGRP-LC,Cluster 1
CG14695,Cluster 1
CG7130,Cluster 1
Tsp42Ei,Cluster 1
Mmp1,Cluster 1
Myo31DF,Cluster 1
CG30026,Cluster 1
CG9312,Cluster 1
scb,Cluster 1
CG5953,Cluster 1
Nmda1,Cluster 1
rau,Cluster 1
CR45517,Cluster 1
CR14033,Cluster 1
moody,Cluster 1
CG11448,Cluster 1
HP1D3csd,Cluster 1
bark,Cluster 1
lig3,Cluster 1
CG17224,Cluster 1
NK7.1,Cluster 1
CG14762,Cluster 1
drongo,Cluster 1
Irbp,Cluster 1
rev7,Cluster 1
Socs36E,Cluster 1
CG14655,Cluster 1
CG34136,Cluster 1
eIF4E6,Cluster 1
trbl,Cluster 1
CG45061,Cluster 1
Charon,Cluster 1
CG18473,Cluster 1
Meltrin,Cluster 1
CG44774,Cluster 1
cert,Cluster 1
Strica,Cluster 1
sqh,Cluster 1
Cont,Cluster 1
CG32369,Cluster 1
CG6409,Cluster 1
CG10103,Cluster 1
Mctp,Cluster 1
Cyp6d2,Cluster 1
Cyp4e3,Cluster 1
CG15098,Cluster 1
hdc,Cluster 1
CG17147,Cluster 1
Cyp6a9,Cluster 1
AnxB11,Cluster 1
CG18596,Cluster 1
Pi3K92E,Cluster 1
CG3077,Cluster 1
CG43165,Cluster 1
stac,Cluster 1
ifc,Cluster 1
Vta1,Cluster 1
CG17322,Cluster 1
cpb,Cluster 1
CG43968,Cluster 1
Ssrp,Cluster 1
Gli,Cluster 1
baz,Cluster 1
PGRP-LB,Cluster 1
CG7523,Cluster 1
klu,Cluster 1
Top3beta,Cluster 1
CR43687,Cluster 1
Ipk2,Cluster 1
Cyp4p1,Cluster 1
rad50,Cluster 1
Neurochondrin,Cluster 1
CG16953,Cluster 1
cib,Cluster 1
Fdx1,Cluster 1
Hph,Cluster 1
CG10376,Cluster 1
lz,Cluster 1
RhoGAP18B,Cluster 1
rho-4,Cluster 1
CG12065,Cluster 1
InR,Cluster 1
Cyp6t3,Cluster 1
mys,Cluster 1
CG5697,Cluster 1
CG30203,Cluster 1
Cyp6d4,Cluster 1
CG13895,Cluster 1
CG32170,Cluster 1
CG34126,Cluster 1
GstD6,Cluster 1
RpA-70,Cluster 1
mus205,Cluster 1
Cht5,Cluster 1
Wbp2,Cluster 1
CG13116,Cluster 1
CR43837,Cluster 1
CG16995,Cluster 1
Cec2,Cluster 1
Archease,Cluster 1
Rab40,Cluster 1
CG32023,Cluster 1
CG30069,Cluster 1
Akap200,Cluster 1
Xrp1,Cluster 1
Cyp6g2,Cluster 1
Fas3,Cluster 1
spz,Cluster 1
drpr,Cluster 1
rempA,Cluster 1
LysX,Cluster 1
unc-45,Cluster 1
Zip71B,Cluster 1
CalpB,Cluster 1
msn,Cluster 1
mop,Cluster 1
Magi,Cluster 1
CG34043,Cluster 1
CG34417,Cluster 1
Itgbn,Cluster 1
dgo,Cluster 1
CG8060,Cluster 1
CG13868,Cluster 1
Vamp7,Cluster 1
pain,Cluster 1
CCHa1,Cluster 1
MAPk-Ak2,Cluster 1
Pkn,Cluster 1
CG42598,Cluster 1
Swip-1,Cluster 1
luna,Cluster 1
CG34394,Cluster 1
Map205,Cluster 1
cpa,Cluster 1
CR45677,Cluster 1
mbl,Cluster 1
CR41257,Cluster 1
GstZ2,Cluster 1
tx,Cluster 1
hh,Cluster 1
CR45659,Cluster 1
CG12012,Cluster 1
LRR,Cluster 1
MICAL-like,Cluster 1
comm2,Cluster 1
CG13247,Cluster 1
CG4194,Cluster 1
CR44478,Cluster 1
CR45693,Cluster 1
bocks,Cluster 1
28SrRNA-Psi:CR40596,Cluster 1
CG14857,Cluster 1
Stam,Cluster 1
E(spl)malpha-BFM,Cluster 1
CR44602,Cluster 1
Tre1,Cluster 1
CG31097,Cluster 1
Kah,Cluster 1
CG32640,Cluster 1
28SrRNA-Psi:CR45855,Cluster 1
CG32103,Cluster 1
CR45924,Cluster 1
cora,Cluster 1
ena,Cluster 1
CG15263,Cluster 1
CG12007,Cluster 1
Desi,Cluster 1
bnl,Cluster 1
CG15784,Cluster 1
Rel,Cluster 1
CG8501,Cluster 1
Arc2,Cluster 1
CG13905,Cluster 1
CG32368,Cluster 1
CG2909,Cluster 1
Gadd45,Cluster 1
Ipk1,Cluster 1
Snmp1,Cluster 1
CG42807,Cluster 1
Zip89B,Cluster 1
CG10638,Cluster 1
CG33093,Cluster 1
pirk,Cluster 1
CG42365,Cluster 1
