Symbol,Kmeans
Sam-S,Cluster 3
CG5973,Cluster 3
CG10026,Cluster 3
DOR,Cluster 3
CG7149,Cluster 3
Pgant6,Cluster 3
CG31323,Cluster 3
twit,Cluster 3
CG4538,Cluster 3
Pat1,Cluster 3
CG13893,Cluster 3
CG34166,Cluster 3
shd,Cluster 3
Cyp4ac1,Cluster 3
Sugb,Cluster 3
alpha-Est9,Cluster 3
CG13255,Cluster 3
Hmgcr,Cluster 3
ap,Cluster 3
CG4238,Cluster 3
CG18809,Cluster 3
CG31324,Cluster 3
eas,Cluster 3
CG8187,Cluster 3
CG42663,Cluster 3
CG11044,Cluster 3
CG31431,Cluster 3
CG42709,Cluster 3
Marf,Cluster 3
CG5151,Cluster 3
MICU1,Cluster 3
CG2781,Cluster 3
CG12512,Cluster 3
CG8745,Cluster 3
Root,Cluster 3
TyrR,Cluster 3
CG17026,Cluster 3
HnRNP-K,Cluster 3
Ide,Cluster 3
wun,Cluster 3
Vha44,Cluster 3
GalNAc-T2,Cluster 3
SLC5A11,Cluster 3
sas,Cluster 3
Sec10,Cluster 3
CG30101,Cluster 3
CG12024,Cluster 3
CG3061,Cluster 3
CG31821,Cluster 3
path,Cluster 3
wgn,Cluster 3
CG11760,Cluster 3
Atet,Cluster 3
CG10560,Cluster 3
CG31522,Cluster 3
Herp,Cluster 3
Nplp1,Cluster 3
CG14142,Cluster 3
CG11737,Cluster 3
lqf,Cluster 3
CR43242,Cluster 3
CG10082,Cluster 3
GckIII,Cluster 3
CG9775,Cluster 3
godzilla,Cluster 3
CG14356,Cluster 3
sprt,Cluster 3
by,Cluster 3
Cad86C,Cluster 3
Odc2,Cluster 3
Surf4,Cluster 3
Cyp303a1,Cluster 3
Ask1,Cluster 3
SPoCk,Cluster 3
CG16974,Cluster 3
lute,Cluster 3
Rtnl1,Cluster 3
CG17360,Cluster 3
svp,Cluster 3
jagn,Cluster 3
fwe,Cluster 3
Sar1,Cluster 3
CG33181,Cluster 3
140up,Cluster 3
KrT95D,Cluster 3
CG4452,Cluster 3
Ork1,Cluster 3
net,Cluster 3
CG8177,Cluster 3
CG14715,Cluster 3
CG8281,Cluster 3
mRpL3,Cluster 3
CG10333,Cluster 3
CG2246,Cluster 3
CG12099,Cluster 3
CG9919,Cluster 3
drl,Cluster 3
CR45868,Cluster 3
CG6812,Cluster 3
CG8157,Cluster 3
CG18135,Cluster 3
CG31675,Cluster 3
JHDM2,Cluster 3
CG11377,Cluster 3
Synd,Cluster 3
Pex2,Cluster 3
CG12290,Cluster 3
shi,Cluster 3
CG15247,Cluster 3
CG3764,Cluster 3
l(2)k14505,Cluster 3
senju,Cluster 3
Edem2,Cluster 3
CG1750,Cluster 3
CG5377,Cluster 3
CG6340,Cluster 3
ClC-a,Cluster 3
Drat,Cluster 3
mnd,Cluster 3
CG32196,Cluster 3
Amph,Cluster 3
syd,Cluster 3
Pcf11,Cluster 3
CG14767,Cluster 3
Plp,Cluster 3
sals,Cluster 3
Nep3,Cluster 3
Ubc10,Cluster 3
ApepP,Cluster 3
CG17027,Cluster 3
CG31663,Cluster 3
milt,Cluster 3
CG4629,Cluster 3
CG42806,Cluster 3
sfl,Cluster 3
CG3036,Cluster 3
HPS4,Cluster 3
Syn2,Cluster 3
Shal,Cluster 3
Hr38,Cluster 3
dve,Cluster 3
dpr18,Cluster 3
CG5191,Cluster 3
CG1513,Cluster 3
CG16799,Cluster 3
CG42672,Cluster 3
CG42524,Cluster 3
Pka-R1,Cluster 3
CG13784,Cluster 3
CG18538,Cluster 3
CG3262,Cluster 3
sws,Cluster 3
Caper,Cluster 3
Opa1,Cluster 3
CG3662,Cluster 3
CG32099,Cluster 3
GlcAT-P,Cluster 3
Lmpt,Cluster 3
LUBEL,Cluster 3
Kcmf1,Cluster 3
CR43611,Cluster 3
Cnx99A,Cluster 3
Vha26,Cluster 3
Pdk1,Cluster 3
mRpS11,Cluster 3
CG7510,Cluster 3
Csp,Cluster 3
qvr,Cluster 3
mid,Cluster 3
dnr1,Cluster 3
CR45647,Cluster 3
Dredd,Cluster 3
CR44566,Cluster 3
CG3104,Cluster 3
rogdi,Cluster 3
comm,Cluster 3
CR44807,Cluster 3
CG31475,Cluster 3
Ptp36E,Cluster 3
Ufl1,Cluster 3
CG1698,Cluster 3
CG34404,Cluster 3
Elp2,Cluster 3
lap,Cluster 3
CR44960,Cluster 3
Glut4EF,Cluster 3
daw,Cluster 3
CG45080,Cluster 3
CR43196,Cluster 3
Keap1,Cluster 3
CG11050,Cluster 3
CG3209,Cluster 3
CG31288,Cluster 3
CG31974,Cluster 3
Acsl,Cluster 3
CG3940,Cluster 3
wit,Cluster 3
Picot,Cluster 3
CG7530,Cluster 3
CG12428,Cluster 3
CG6656,Cluster 3
retm,Cluster 3
CG7881,Cluster 3
CG9896,Cluster 3
CG5107,Cluster 3
Oatp33Ea,Cluster 3
Smvt,Cluster 3
CR44310,Cluster 3
CG31446,Cluster 3
CG5758,Cluster 3
COX7A,Cluster 3
CG5455,Cluster 3
trbd,Cluster 3
CG5853,Cluster 3
CG9813,Cluster 3
Tina-1,Cluster 3
MFS14,Cluster 3
Ttd14,Cluster 3
CG17734,Cluster 3
CG15169,Cluster 3
CG14502,Cluster 3
CG32795,Cluster 3
odd,Cluster 3
CG1718,Cluster 3
alpha-Man-Ic,Cluster 3
LysP,Cluster 3
Ir76b,Cluster 3
bbc,Cluster 3
Pex16,Cluster 3
sug,Cluster 3
Proc,Cluster 3
CG2765,Cluster 3
CG3714,Cluster 3
Ptp52F,Cluster 3
Diedel3,Cluster 3
CG43630,Cluster 3
CG17109,Cluster 3
VhaSFD,Cluster 3
CG17560,Cluster 3
CG8774,Cluster 3
CG11892,Cluster 3
CG8814,Cluster 3
CG4666,Cluster 3
CheB42c,Cluster 3
CG15537,Cluster 3
Ir31a,Cluster 3
to,Cluster 3
CG34212,Cluster 3
galla-1,Cluster 3
spab,Cluster 3
CG30049,Cluster 3
ZnT63C,Cluster 3
CG8051,Cluster 3
Or92a,Cluster 3
Gpa2,Cluster 3
CG17646,Cluster 3
Kr-h2,Cluster 3
Peritrophin-15a,Cluster 3
rtp,Cluster 3
CG5157,Cluster 3
Lectin-galC1,Cluster 3
Hnf4,Cluster 3
RluA-1,Cluster 3
CG9981,Cluster 3
LManI,Cluster 3
CG4733,Cluster 3
uzip,Cluster 3
CG7631,Cluster 3
CG5027,Cluster 3
VhaAC39-1,Cluster 3
CG34288,Cluster 3
CG14274,Cluster 3
fbl,Cluster 3
CG5805,Cluster 3
CG15534,Cluster 3
pros,Cluster 3
CG33301,Cluster 3
CG3091,Cluster 3
Pal2,Cluster 3
CG5096,Cluster 3
CG18537,Cluster 3
CG31454,Cluster 3
CG11221,Cluster 3
lama,Cluster 3
VGAT,Cluster 3
Ext2,Cluster 3
bsk,Cluster 3
CG3009,Cluster 3
CR44851,Cluster 3
CG3277,Cluster 3
Pli,Cluster 3
CG13315,Cluster 3
PKD,Cluster 3
Lpin,Cluster 3
CG12974,Cluster 3
CG10514,Cluster 3
VhaAC45,Cluster 3
CG16826,Cluster 3
miple1,Cluster 3
wdp,Cluster 3
inaF-B,Cluster 3
Prosbeta2,Cluster 3
CG13284,Cluster 3
CG16771,Cluster 3
PHGPx,Cluster 3
CG5919,Cluster 3
VGlut,Cluster 3
Vha68-2,Cluster 3
Aplip1,Cluster 3
Toll-9,Cluster 3
CG14186,Cluster 3
Galphaf,Cluster 3
Dbi,Cluster 3
PVRAP,Cluster 3
Tsp97E,Cluster 3
CG7970,Cluster 3
alphaSnap,Cluster 3
CG12895,Cluster 3
Syngr,Cluster 3
GATAe,Cluster 3
Orco,Cluster 3
VepD,Cluster 3
LpR1,Cluster 3
CG5150,Cluster 3
inaD,Cluster 3
CG1492,Cluster 3
CR45758,Cluster 3
CG3556,Cluster 3
ChAT,Cluster 3
CG15630,Cluster 3
svr,Cluster 3
CG30033,Cluster 3
Tsp42Ec,Cluster 3
CG44837,Cluster 3
CG4577,Cluster 3
Tsp39D,Cluster 3
Takl2,Cluster 3
CR12628,Cluster 3
EndoB,Cluster 3
CG14130,Cluster 3
Inx7,Cluster 3
CG10425,Cluster 3
CG1927,Cluster 3
CG17574,Cluster 3
CG9065,Cluster 3
Invadolysin,Cluster 3
CG10300,Cluster 3
CG7990,Cluster 3
EndoA,Cluster 3
CrzR,Cluster 3
CG15651,Cluster 3
CheB98a,Cluster 3
Pino,Cluster 3
Ih,Cluster 3
fd59A,Cluster 3
CG9005,Cluster 3
CG15765,Cluster 3
CG34330,Cluster 3
jeb,Cluster 3
Ror,Cluster 3
CG7720,Cluster 3
ninaE,Cluster 3
atl,Cluster 3
Ace,Cluster 3
CG13532,Cluster 3
CG45057,Cluster 3
Ktl,Cluster 3
ACXD,Cluster 3
CG3734,Cluster 3
beat-IV,Cluster 3
CG17929,Cluster 3
CG8952,Cluster 3
CG8910,Cluster 3
Mppe,Cluster 3
beat-Vc,Cluster 3
exex,Cluster 3
CG43340,Cluster 3
MtnE,Cluster 3
Rph,Cluster 3
fus,Cluster 3
TBC1D16,Cluster 3
CG44247,Cluster 3
CG10592,Cluster 3
CG7084,Cluster 3
Sidpn,Cluster 3
Tsp29Fb,Cluster 3
Epac,Cluster 3
CG14131,Cluster 3
kek4,Cluster 3
CR45997,Cluster 3
beat-Ib,Cluster 3
CG5549,Cluster 3
Cdk5alpha,Cluster 3
CG14853,Cluster 3
lambdaTry,Cluster 3
VAChT,Cluster 3
CG3618,Cluster 3
CR46027,Cluster 3
gol,Cluster 3
CG44008,Cluster 3
esn,Cluster 3
Cow,Cluster 3
mex1,Cluster 3
Vml,Cluster 3
Ent3,Cluster 3
CG1231,Cluster 3
Eip71CD,Cluster 3
CNMa,Cluster 3
cN-IIIB,Cluster 3
CG13138,Cluster 3
CG17167,Cluster 3
Mipp1,Cluster 3
AOX4,Cluster 3
CG31198,Cluster 3
CG8628,Cluster 3
CG2120,Cluster 3
CR45156,Cluster 3
pcl,Cluster 3
CG42747,Cluster 3
CG17169,Cluster 3
CG11381,Cluster 3
Cad74A,Cluster 3
CG6296,Cluster 3
CG15254,Cluster 3
CG31343,Cluster 3
CG15255,Cluster 3
CG4562,Cluster 3
CG3332,Cluster 3
CG14820,Cluster 3
dmGlut,Cluster 3
CG8785,Cluster 3
CG3868,Cluster 3
Npc2f,Cluster 3
CG5767,Cluster 3
CG5246,Cluster 3
CG15170,Cluster 3
CG11378,Cluster 3
CG31926,Cluster 3
CG14309,Cluster 3
CG13299,Cluster 3
CG3635,Cluster 3
Cyp4g1,Cluster 3
CG13083,Cluster 3
CG10182,Cluster 3
CG4301,Cluster 3
CG11961,Cluster 3
CG18747,Cluster 3
Vm34Ca,Cluster 3
CG10479,Cluster 3
deltaTry,Cluster 3
CG13113,Cluster 3
CG18088,Cluster 3
Damm,Cluster 3
LManII,Cluster 3
CG4066,Cluster 3
CG32645,Cluster 3
CG15879,Cluster 3
CheB42a,Cluster 3
CG14205,Cluster 3
CG13078,Cluster 3
1-Dec,Cluster 3
Ir7c,Cluster 3
CG15044,Cluster 3
ndl,Cluster 3
Ekar,Cluster 3
CG32512,Cluster 3
Wnt10,Cluster 3
CG31076,Cluster 3
Crys,Cluster 3
CG14221,Cluster 3
